"Accuracy","AccuracySynth","AccuracySynthCombined","Precision","PrecisionSynth","PrecisionSynthCombined","Recall","RecallSynth","RecallSynthCombined","Fallout","FalloutSynth","FalloutSynthCombined","FMeasure","FMeasureSynth","FMeasureSynthCombined","AUC","AUCSynth","AUCSynthCombined"
0.66,0.679,0.66,0.711,0.727,0.721,0.865,0.865,0.838,0.812,0.75,0.75,0.78,0.79,0.775,0.526,0.557,0.544
0.63,0.63,0.63,0.707,0.707,0.707,0.784,0.784,0.784,0.706,0.706,0.706,0.744,0.744,0.744,0.539,0.539,0.539
0.636,0.691,0.691,0.68,0.698,0.698,0.895,0.974,0.974,0.941,0.941,0.941,0.773,0.813,0.813,0.477,0.516,0.516
0.704,0.759,0.759,0.733,0.74,0.761,0.892,1,0.946,0.706,0.765,0.647,0.805,0.851,0.843,0.593,0.618,0.649
0.667,0.648,0.648,0.711,0.705,0.705,0.865,0.838,0.838,0.765,0.765,0.765,0.78,0.765,0.765,0.55,0.537,0.537
0.611,0.519,0.519,0.711,0.657,0.657,0.73,0.622,0.622,0.647,0.706,0.706,0.72,0.639,0.639,0.541,0.458,0.458
0.593,0.574,0.556,0.683,0.706,0.686,0.757,0.649,0.649,0.765,0.588,0.647,0.718,0.676,0.667,0.496,0.53,0.501
0.698,0.698,0.698,0.756,0.698,0.698,0.838,1,1,0.625,1,1,0.795,0.822,0.822,0.606,0.5,0.5
0.685,0.63,0.63,0.744,0.688,0.688,0.842,0.868,0.868,0.688,0.938,0.938,0.79,0.767,0.767,0.577,0.465,0.465
0.564,0.6,0.6,0.652,0.7,0.7,0.789,0.737,0.737,0.941,0.706,0.706,0.714,0.718,0.718,0.424,0.515,0.515
